label,sentence
0,"t becomes necessary also for Government to curb elements responsible for disturbing the situation
"
2,"atmosphere of brotherhood could be maintained.
"
2,"Hindus, Muslims and Sikhs - to live like brothers and bring all conspiracies to end
"
2,"consider national honour and subjectivity as a master key and to bring unity within their ranks
"
2,"people of united Valley could determine their political future
"
0,"demand from India and Pakistan to withdraw their forces from both sides of border
"
2,"Parliament according to principle of right to self-determination
"
2,"The Union Cabinet has taken important decision determining death penalty for the culprits involved in sexual harassment of girls below 12 years age
"
2,"With this decision, the incidents of sexual excesses would not only down but victim family of Kathua would also receive justice
"
2,"Now the need is that State Government should also pass such type of law at which Chief Minister
"
2,"According to fresh Ordinance, investigation and trial in the cases of sexual harassment would be completed within two months.
"
0,"Killing of the victim after excesses has also become a serious issue.  
"
0,"The recent incident at Rasana, Kathua is the latest example of it in which 8-year old Bakerwal girl was raped and mercilessly killed.
"
2,"efforts should be made to motivate Kashmiri militants to leave gun;
"
2,"collective approach should be adopted to bring youth with extremist inclination into mainstream
"
0,"concerned Army officer does not have enough knowledge about Kashmir
"
0,"othing was said about the efforts which would be made to bring youth in to mainstream
"
2,"It could be said without doubt that psychology of youth needs to be understood to change their tendency.
"
2,"Protests are being held by students in the Valley against rape and murder of Asifa of Kathua, demanding strict punishment against culprits
"
0,"there is no scope to raise objection on the protests of students.
"
0,"Those who had tried to hush up the case faced defeat.
"
2,"Government and Crime Branch have done their job nicely.
"
2,"investigations in the case can’t be doubted,
"
2,"because the elements who tried their best to save the culprits have failed in their attempts.
"
2,"guarantee for people’s salvation from current unfavourable and worrisome situation
"
2,"ammu and Kashmir has erupted since when Sheikh Muhammad Abdullah was dislodged on August 9, 1953
"
2,"clarification of Supreme Court with regard to Article 370 and added that this clarification has shut the mouth of those who have been conspiring to revoke this Article
"
2,"Anti-Kashmir records were broken during Mufti Muhammad Sayeed’s rule in 2002 and Mehbooba Mufti’s government in 2015
"
0,"world nations have been maintaining criminal silence over miserable plight of Muslims.
"
2,"UN to compel both India and Pakistan for starting a dialogue process and to stop killing of innocent civilians
"
2,"that present situation is more serious than the situation which had emerged after the killing of Burhan Wani.
"
0,"a large of number of people is with militants without any fear of death.
"
0,"People are highly passionate and nobody cares for results.
"
2,"Nobody is sensible enough to think that they can’t fight machine guns by stones.
"
0,"People are with militants
"
2,"forces have to fight against both militants and people.
"
1,"expansion of All Out Operation by launching operations at different places simultaneously creates possibility of deaths.
"
0,"but this factor is being ignored altogether
"
2,"Another option is that anti-militant operations should be planned in meticulous way to avoid any possibility of confrontation between people and forces
"
2,"he third option is to look at internal and external dimensions of Kashmir issue and take initiatives by which people could believe that Government is worried about this complex issue and its resolution.
"
2,"Atal Bihari Vajpayee is still being respected in Kashmir, because he made sincere efforts for the resolution of Kashmir
"
2,"The BJP Ministers have been asked to submit resignation for reshuffle purposes so that message goes that there is no lack of discipline in the party
"
2,"It is also said that the Central leadership of BJP were not happy with the performance of some of their Ministers and they were waiting for an opportunity to remove them
"
2,"The Asifa issue has provided golden opportunity to the Centre to remove some of its disliked Ministers and bring new faces in the Cabinet.
"
0,"he criticised Chief Minister, Mehbooba Mufti
"
2,"he participated in a rally taken out by one Hindu nationalist party at Kathua in favour of the culprits involved in Asifa rape and murder case
"
0,"but he did not abstain from his irresponsible activities
"
2,"The party has failed to control him
"
0,"Council of Ministers headed by Chief Minister, Mehbooba Mufti could be reshuffled anytime after April 22
"
2,"has clarified that it has not given any shutdown call for April 20 (Friday)
"
2,"the leadership has appealed people not to believe in rumours being spread in this regard
"
2,"reasons being given for this have once again bowed the head of humanity.
"
0,"against this inhuman act is encouraging
"
0,"Their voice has made administration helpless in whole of India and compelled people in power here to open their mouth
"
0," The public opinion at world level has also shaken country’s administration
"
0,"people teaching Islamic etiquettes and ethics and running business on this are nowhere in sigh
"
0,"They have once again gone inside their hideouts
"
0,"They are scared of opening their mouth on this incident
"
0,"which existed in Arab society before the advent of Islam, have penetrated into our society.
"
0,"People at large scale have been taking part in Sermons, Tableeq and Tehreek works, but they are not ready to give up sins.
"
2,"Our society has become fountainhead of sins
"
0,"Our Mullas are not ready to remove the sins forbidden by Islam.
"
0,"They are not ready to open their mouth against sins being committed.
"
2,"This is the reason while common people have been protesting against Asifa case
"
0,"those wearing turbans and gowns are busy in earning their livelihood.
"
0,"Now rape and murder are not sins in their eyes.
"
0,"hey are so worthless that God has not bestowed diving help on them
"
0,"whatever has been happening with student community since last few days is not less than shame for a democratic set up.  
"
0,"Expression of hurt sentiments against inhuman and beastly tragedy of Kathua is not a crime
"
0,"Perhaps this is the reason why efforts are being made to suppress any genuine protest by resorting to continuous and indiscriminate force.
"
2,"There is need to tackle with cool mind the wave of protests continuing in Kashmir against Kathua rape and murder case.
"
2,"The anger can’t be suppressed by closing educational institutions, using canes and tear gas shells against protesting students.
"
1,"Moreover, students should also comprehend the delicacy of situation.
"
0,"but that does not mean they will come on roads and take law into their hands
"
2,"They have right to protest
"
2,"Enough protests have been held against the issue under discussion
"
2,"it has now become the centre of international attention
"
2,"emand of time and situation is that students should resume their studies
"
2,"Their attitude should be worthy to wake up the conscience of authorities
"
2,"status of a Muslim is as a teacher and it is duty of every Muslim to find solution of every issue in the world in the light of religion
"
0,"discriminatory attitude towards J&K
"
2,"initiate a process for removal of this law from the State,
"
0,"suffered lot in last 28 years due to this law
"
2,"the demand of the time is that this law should be removed from the State
"
0,"certain forces in Central Government failed these efforts.
"
0,"created hurdles in its revocation
"
2,"people of J&K would have got relief from this laws
"
0,"Mehbooba Mufti has again advocated its continuation.
"
0,"Every wave of time, popular slogan, emotional attitude and people of stature are sacred for us.
"
0,"Now when coalition government of PDP and BJP is ruling us, our highly educated youth and architects of our future have been taking up guns.
"
2,"Faiths stand divided in numerous faiths
"
0,"but a common faith inherited by us is hate against India.
"
0,"we, our intellectuals, leaders and youths are confused.
"
0,"oth the countries have been fighting a war of egos
"
1,"both have been defeated badly.
"
0,"except that Kashmiris have become a part of its war.
"
0,"instead Kashmir has drifted away further from it.
"
0,"militancy has also not been able to stand anywhere
"
0,"political leadership has not been able to think or do anything beyond Hartal politics.
"
0,"tional Conference has been making a history of disappointments and PDP is at the verge of defeat.
"
0,"Nobody has achieved anything and none possesses any ray of hope.
"
0,"Faiths of people have been breaking once again
"
0,"hose who described religion and politics as one entity
"
0,"Though Government has been running
"
0,"a wedge has developed between its coalition partners, BJP and PDP
"
0,"if tension increases in coming day there would be no doubt left about the fall of government.
"
0,"ensure that caution would be maintained by security forces during anti-militant operations
"
0,"xpelled because they had not only participated, but also addressed a rally taken out in favour of culprits in the rape and murder of Asifa.
"
0,"party not only maintained silence at the initial stage of murder of innocent girl child, but also indulged in activities to suppress the case.
"
0,"Prime Minister, Narendra Modi and Union Home Minister, Rajnath Singh have played highly irresponsible role.
"
0,"the communal group ‘Hindu Ekta Manch’ was allowed to carry forward its activities in an attempt to give religious colour to a human and judicial matter.
"
0,"only their expulsion wont’ do.
"
2,"the meeting also reviewed the present situation in Kashmir.
"
0,"that freedom of Kashmir from Indian occupation is writing on the wall,
"
0,"Indian rulers have been evading it due to fear of political death
"
0,"suppressing demand for freedom by using force won’t be useful for India
"
0,"Kashmiri youths have decided to embrace death while fighting against Indian forces.
"
2,"ongoing movement in Kashmir has neither communal temperament nor any prejudicial objective
"
2,"ovement is based on the principles and values of humanity
"
2,"which is being run for the resolution of Kashmir issue.
"
2,"demanding their right for which they have been struggling for last 70 years.
"
2,"The people of Kashmir are not agents of anybody
"
2,"hey are not running their movement at the behest of someone else
"
2,"India should accept historical reality of Kashmir issue,
"
0,"India would achieve nothing by spending huge amounts of money to crush the ongoing movement in Kashmir
"
2,"directed its office bearers to remain active
"
2,"Moulana Dawoodi said that enemies of Muslims and anti-people elements should be given strict punishment.
"
0,"incident has trampled humanity.
"
2,"The culprits involved in this case should be hanged so that such incidents do not recur in future
"
0,"Kathua tragedy, in particular, is perplexing
"
0,"Ulema should come out of Darul Ulooms and join people on roads.
"
0,"haven’t they received information about Kathua tragedy,
"
2,"She appealed Ulema to lead the people, because they have an important role in the people’s movement
"
0,"Ulema can’t escape their responsibility
"
2,"ndia and Pakistan to stop exchange of fire on borders and to respect the ceasefire agreements
"
2,"requesting to stop firing on borders
"
0,"which took human lives and damaged properties
"
2,"Expressing concern over the situation at borders,
"
2,"issues could not be resolved by a war and fight.
"
2,"both Government of Pakistan and India to start a planned and peaceful dialogue process to resolve the basic issues especially Kashmir issue
"
2,"Kashmir issue could be resolved only through a dialogue process
"
2,"Pakistan and India resolve the Kashmir issue together then it would be fruitful and peace would be restored in the sub-continent particularly in Jammu and Kashmir
"
2,"The border skirmish would also end
"
0,"three wars were fought between India and Pakistan so far
"
0,"despite this enmity has not ended.
"
2,"so that peace could be restored.
"
0,"Kashmir issue is a long standing issue
"
2,"it should be resolved forever.
"
2,"t is important at this time to keep the difference aside and keep the struggle alive for fundamental rights of Kashmir.
"
2,"politicians of India and Pakistan to stop exchange of fire on border so that people could live peacefully.
"
2,"Dialogue process should be started to resolve the Kashmir issue because peace of the region is embedded in this dispute
"
2,"we should start a dialogue process to save the region from more killings and damages
"
2,"India and Pakistan should start a dialogue process but for this it is important to prepare an amicable and conducive way.
"
0,"adds fuel to fire.
"
0,"When both countries exchange fire on borders, every small or big politician of both countries give statements which adds fuel to fire
"
2,"a dialogue process is important this time.
"
2,"Islamabad and New Delhi should start a dialogue process to resolve the issues including Kashmir
"
0,"The basic reason was that such dialogue process was not initiated wholeheartedly
"
0,"he result of such dialogue process was that there was exchange of fire on borders and people were being killed daily
"
0,"Villages were being ruined.
"
2,"dialogue has become inevitable to resolve Kashmir issue
"
2,"if the dialogue process is delayed, the future of Jammu and Kashmir would be affected adversely
"
0,"logue process by Centre with mainstream parties would fail to bear fruits,
"
2,"unless and until Hurriyat leaders are not included in it.
"
2,"India and Pakistan should take concrete steps to resolve the Kashmir issue.
"
2,"pledged to continue the political struggle and to take his mission to its logical conclusion
"
0,"the Valley has been made as meadow for Police and Army personnel wherein humans are being butchered like grass.
"
2,"resolve the Kashmir issue so that peace could be restored in sub-continent particularly
"
2,"Kashmir issue could be solved through a dialogue process only in which presence of representatives of the three regions are necessary
"
2,"people of India and Pakistan particularly people of Kashmir can spend a peaceful life only after resolving the Kashmir issue
"
2,"Welcoming statements of Indo-Pak Army Chiefs,
"
2,"stressed on dialogue and reconciliation for peace
"
2,"has expressed hope that political leadership and governments of both neighbouring countries would come on dialogue table without wasting time.
"
0,"While normal life was affected by Jammu Bandh call,
"
2,"local Trade Unions and Bar Associations of Peer Panchal and Chenab regions took an appreciable step by remaining away from the Bandh call
"
0,"which has apparently discouraged the forces which want to flare up communal passion in Jammu for their own interests
"
2,"Decision of Jammu Trade Union not to support the Bandh call has been appreciated by sensible public circles
"
0,"discourage evil intentions of some anti-social elements and defeat their attempts
"
0,"started to divide the society
"
0,"otherwise serious consequences could emerge engulfing the whole of State.
"
0,"t becomes necessary also for Government to curb elements responsible for disturbing the situation
"
2,"atmosphere of brotherhood could be maintained.
"
2,"Hindus, Muslims and Sikhs - to live like brothers and bring all conspiracies to end
"
2,"The BJP Ministers have been asked to submit resignation for reshuffle purposes so that message goes that there is no lack of discipline in the party
"
2,"It is also said that the Central leadership of BJP were not happy with the performance of some of their Ministers and they were waiting for an opportunity to remove them
"
2,"The Asifa issue has provided golden opportunity to the Centre to remove some of its disliked Ministers and bring new faces in the Cabinet.
"
0,"he criticised Chief Minister, Mehbooba Mufti
"
2,"he participated in a rally taken out by one Hindu nationalist party at Kathua in favour of the culprits involved in Asifa rape and murder case
"
0,"but he did not abstain from his irresponsible activities
"
2,"The party has failed to control him
"
2,"The views expressed by Indo-Pak Army leadership are a reality for resolving Kashmir issue through dialogue
"
2,"should adopt a serious approach and start dialogue process without delay
"
2,"resolve the Kashmir issue so that peace could be restored in sub-continent particularly
"
2,"Kashmir issue could be solved through a dialogue process only in which presence of representatives of the three regions are necessary
"
2,"people of India and Pakistan particularly people of Kashmir can spend a peaceful life only after resolving the Kashmir issue
"
2,"guarantee for people’s salvation from current unfavourable and worrisome situation
"
2,"ammu and Kashmir has erupted since when Sheikh Muhammad Abdullah was dislodged on August 9, 1953
"
2,"clarification of Supreme Court with regard to Article 370 and added that this clarification has shut the mouth of those who have been conspiring to revoke this Article
"
2,"Anti-Kashmir records were broken during Mufti Muhammad Sayeed’s rule in 2002 and Mehbooba Mufti’s government in 2015
"
0,"Every wave of time, popular slogan, emotional attitude and people of stature are sacred for us.
"
0,"Now when coalition government of PDP and BJP is ruling us, our highly educated youth and architects of our future have been taking up guns.
"
2,"Faiths stand divided in numerous faiths
"
0,"but a common faith inherited by us is hate against India.
"
0,"we, our intellectuals, leaders and youths are confused.
"
0,"oth the countries have been fighting a war of egos
"
1,"both have been defeated badly.
"
0,"except that Kashmiris have become a part of its war.
"
0,"instead Kashmir has drifted away further from it.
"
0,"militancy has also not been able to stand anywhere
"
0,"political leadership has not been able to think or do anything beyond Hartal politics.
"
0,"tional Conference has been making a history of disappointments and PDP is at the verge of defeat.
"
0,"Nobody has achieved anything and none possesses any ray of hope.
"
0,"Faiths of people have been breaking once again
"
0,"hose who described religion and politics as one entity
"
2,"reasons being given for this have once again bowed the head of humanity.
"
0,"against this inhuman act is encouraging
"
0,"Their voice has made administration helpless in whole of India and compelled people in power here to open their mouth
"
0," The public opinion at world level has also shaken country’s administration
"
0,"people teaching Islamic etiquettes and ethics and running business on this are nowhere in sigh
"
0,"They have once again gone inside their hideouts
"
0,"They are scared of opening their mouth on this incident
"
0,"which existed in Arab society before the advent of Islam, have penetrated into our society.
"
0,"People at large scale have been taking part in Sermons, Tableeq and Tehreek works, but they are not ready to give up sins.
"
2,"Our society has become fountainhead of sins
"
0,"Our Mullas are not ready to remove the sins forbidden by Islam.
"
0,"They are not ready to open their mouth against sins being committed.
"
2,"This is the reason while common people have been protesting against Asifa case
"
0,"those wearing turbans and gowns are busy in earning their livelihood.
"
0,"Now rape and murder are not sins in their eyes.
"
0,"hey are so worthless that God has not bestowed diving help on them
"
2,"efforts should be made to motivate Kashmiri militants to leave gun;
"
2,"collective approach should be adopted to bring youth with extremist inclination into mainstream
"
0,"concerned Army officer does not have enough knowledge about Kashmir
"
0,"othing was said about the efforts which would be made to bring youth in to mainstream
"
2,"It could be said without doubt that psychology of youth needs to be understood to change their tendency.
"
2,"we should start a dialogue process to save the region from more killings and damages
"
2,"India and Pakistan should start a dialogue process but for this it is important to prepare an amicable and conducive way.
"
0,"adds fuel to fire.
"
0,"When both countries exchange fire on borders, every small or big politician of both countries give statements which adds fuel to fire
"
2,"a dialogue process is important this time.
"
2,"Islamabad and New Delhi should start a dialogue process to resolve the issues including Kashmir
"
0,"The basic reason was that such dialogue process was not initiated wholeheartedly
"
0,"he result of such dialogue process was that there was exchange of fire on borders and people were being killed daily
"
0,"Villages were being ruined.
"
0,"the Valley has been made as meadow for Police and Army personnel wherein humans are being butchered like grass.
"
2,"consider national honour and subjectivity as a master key and to bring unity within their ranks
"
2,"people of united Valley could determine their political future
"
0,"demand from India and Pakistan to withdraw their forces from both sides of border
"
2,"Parliament according to principle of right to self-determination
"
2,"The Union Cabinet has taken important decision determining death penalty for the culprits involved in sexual harassment of girls below 12 years age
"
2,"With this decision, the incidents of sexual excesses would not only down but victim family of Kathua would also receive justice
"
2,"Now the need is that State Government should also pass such type of law at which Chief Minister
"
2,"According to fresh Ordinance, investigation and trial in the cases of sexual harassment would be completed within two months.
"
0,"Killing of the victim after excesses has also become a serious issue.  
"
0,"The recent incident at Rasana, Kathua is the latest example of it in which 8-year old Bakerwal girl was raped and mercilessly killed.
"
2,"Security agencies have decided to adopt a new strategy
"
2,"keep youth away from encounter sites
"
2,"has decided to contact respectable people
"
2,"lives of common people could be saved.
"
2,"necessary to take local people into confidence so that youth could be kept away from encounter sites
"
2,"Pakistan and India resolve the Kashmir issue together then it would be fruitful and peace would be restored in the sub-continent particularly in Jammu and Kashmir
"
2,"The border skirmish would also end
"
0,"three wars were fought between India and Pakistan so far
"
0,"despite this enmity has not ended.
"
2,"so that peace could be restored.
"
2,"view that violence and force is not solution of any issue; instead dialogue is the only way to resolve issues.
"
0,"the question is whether meaning of both these statement is same or not?
"
2,"it would become known that meaning and connotation of views expressed by both of them is same.
"
2,"Qamar Bajwa has said that conflict between India and Pakistan can’t resolve any issue; instead dialogue is only means for durable solution of issues.
"
0,"General Bipin Rawat is somewhat different.
"
0,"He did not speak about Indo-Pak collision.
"
2,"The new and more important view expressed by him is that forces too won’t achieve anything.
"
2,"he has accepted that current violence is not good for any one and nobody is going to achieve anything from it
"
2,"Army Chiefs of both countries have described resolution of Kashmir issue as inevitable.
"
2,"The fact is that only Pakistan Army Chief has said so.
"
2,"because views of Army are very important in Pakistan as compared to the views of its Government.
"
0,"because no reaction is being expressed in India on the statements of Army.
"
2,"there is no importance to this statement on which several circles have been expressing joy.
"
2,"Army Chiefs express concern over the situation, a message goes to their governments which are being kept in view while framing policies
"
0,"Pakistan is also worried about the situation on Line of Contro
"
2,", both the countries would agree to come on dialogue table and move forward for the resolution of long pending issues.
"
2,"Expressing concern over the situation at borders,
"
2,"issues could not be resolved by a war and fight.
"
2,"both Government of Pakistan and India to start a planned and peaceful dialogue process to resolve the basic issues especially Kashmir issue
"
2,"Kashmir issue could be resolved only through a dialogue process
"
2,"pledged to continue the political struggle and to take his mission to its logical conclusion
"
0,"world nations have been maintaining criminal silence over miserable plight of Muslims.
"
2,"UN to compel both India and Pakistan for starting a dialogue process and to stop killing of innocent civilians
"
2,"Protests are being held by students in the Valley against rape and murder of Asifa of Kathua, demanding strict punishment against culprits
"
0,"there is no scope to raise objection on the protests of students.
"
0,"Those who had tried to hush up the case faced defeat.
"
2,"Government and Crime Branch have done their job nicely.
"
2,"investigations in the case can’t be doubted,
"
2,"because the elements who tried their best to save the culprits have failed in their attempts.
"
2,"has clarified that it has not given any shutdown call for April 20 (Friday)
"
2,"the leadership has appealed people not to believe in rumours being spread in this regard
"
0,"reply is that the Government should honour sentiments and feelings of youth
"
2,"any decision about them should be taken after full consideration
"
0,"There is lot of difference between today’s youth and the youth 30 years back when militancy started in Kashmir
"
2,"a strategy is needed which could make them feel and understand that something is being done for their welfare.
"
0,"Police and any other forces should be disciplined enough
"
0,"Their job is not to use violence against people
"
0,"Using violence and indiscriminate arrests increase anger among people and youths
"
0,"found disturbing law and order or raising slogans
"
0,"Though Government has been running
"
0,"a wedge has developed between its coalition partners, BJP and PDP
"
0,"if tension increases in coming day there would be no doubt left about the fall of government.
"
0,"ensure that caution would be maintained by security forces during anti-militant operations
"
0,"xpelled because they had not only participated, but also addressed a rally taken out in favour of culprits in the rape and murder of Asifa.
"
0,"party not only maintained silence at the initial stage of murder of innocent girl child, but also indulged in activities to suppress the case.
"
0,"Prime Minister, Narendra Modi and Union Home Minister, Rajnath Singh have played highly irresponsible role.
"
0,"the communal group ‘Hindu Ekta Manch’ was allowed to carry forward its activities in an attempt to give religious colour to a human and judicial matter.
"
0,"only their expulsion wont’ do.
"
2,"death penalty for culprits involved in rape of minor girls
"
0,"shameful incidents that occurred recently at Unnao (UP) and Kathua (J&K).
"
0,"Rape and murder of minor Asifa at Kathua is a serious and unpardonable crime.
"
0,"For the first time, Indian authorities had to admit that rape of a minor girl has ashamed India before world community
"
2,"demanded justice for victims
"
2,"new law would prove a milestone for safety, dignity and modesty of women
"
2,"State Government deserves appreciation.
"
0,"People might have complaints and anger against Chief Minister
"
2,"she has taken personal interest in Kathua incident and ensured arrest of culprits and court proceedings
"
2,"big pro-women step which is in conformity with human nature.
"
2,"ndia and Pakistan to stop exchange of fire on borders and to respect the ceasefire agreements
"
2,"requesting to stop firing on borders
"
0,"which took human lives and damaged properties
"
0,"social networking sites with a gun in his hand has confirmed his joining militant ranks
"
0,"ut did not turn up after leaving home for a walk
"
2,"politicians of India and Pakistan to stop exchange of fire on border so that people could live peacefully.
"
2,"Dialogue process should be started to resolve the Kashmir issue because peace of the region is embedded in this dispute
"
2,"dialogue has become inevitable to resolve Kashmir issue
"
2,"if the dialogue process is delayed, the future of Jammu and Kashmir would be affected adversely
"
0,"logue process by Centre with mainstream parties would fail to bear fruits,
"
2,"unless and until Hurriyat leaders are not included in it.
"
2,"India and Pakistan should take concrete steps to resolve the Kashmir issue.
"
0,"Council of Ministers headed by Chief Minister, Mehbooba Mufti could be reshuffled anytime after April 22
"
0,"whatever has been happening with student community since last few days is not less than shame for a democratic set up.  
"
0,"Expression of hurt sentiments against inhuman and beastly tragedy of Kathua is not a crime
"
0,"Perhaps this is the reason why efforts are being made to suppress any genuine protest by resorting to continuous and indiscriminate force.
"
2,"There is need to tackle with cool mind the wave of protests continuing in Kashmir against Kathua rape and murder case.
"
2,"The anger can’t be suppressed by closing educational institutions, using canes and tear gas shells against protesting students.
"
1,"Moreover, students should also comprehend the delicacy of situation.
"
